[ 3685.971237] avd 269080000.avd:        0 | cm3_dma_config_3
[ 3685.976728] avd 269080000.avd:        0 | cm3_dma_config_4
[ 3685.982221] avd 269080000.avd:        0 | zero
[ 3685.986670] avd 269080000.avd: fcf98000 | hdr_9c_pps_tile_addr_lsb8[1]
[ 3685.993211] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[1] (high)
[ 3686.000365] avd 269080000.avd: fce98000 | hdr_9c_pps_tile_addr_lsb8[2]
[ 3686.006902] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[2] (high)
[ 3686.014055] avd 269080000.avd: f4f90000 | hdr_9c_pps_tile_addr_lsb8[3]
[ 3686.020592] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[3] (high)
[ 3686.027748] avd 269080000.avd:        0 | cm3_dma_config_5
[ 3686.033243] avd 269080000.avd: fda00000 | hdr_210_y_addr_lsb8[0]
[ 3686.039255] avd 269080000.avd:        0 | hdr_210_y_addr_lsb8[0] (high)
[ 3686.045889] avd 269080000.avd:       28 | hdr_218_width_align
[ 3686.051647] avd 269080000.avd: fda39800 | hdr_214_uv_addr_lsb8[0]
[ 3686.057743] avd 269080000.avd:        0 | hdr_214_uv_addr_lsb8[0] (high)
[ 3686.064458] avd 269080000.avd:       28 | hdr_21c_width_align
[ 3686.070218] avd 269080000.avd:        0 | cm3_mark_end_section
[ 3686.076058] avd 269080000.avd:  16f027f | hdr_54_height_width
[ 3686.081820] avd 269080000.avd:        0 | cm3_dma_config_6
[ 3686.087313] avd 269080000.avd: fce18000 | hdr_9c_pps_tile_addr_lsb8[7]
[ 3686.093849] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[7] (high)
[ 3686.101002] avd 269080000.avd: fdace400 | hdr_bc_sps_tile_addr_lsb8[0]
[ 3686.107538] avd 269080000.avd:        0 | hdr_bc_sps_tile_addr_lsb8[0] (high)
[ 3686.114695] avd 269080000.avd:        0 | cm3_dma_config_7
[ 3686.120184] avd 269080000.avd:        0 | cm3_dma_config_8
[ 3686.125677] avd 269080000.avd:        0 | cm3_dma_config_9
[ 3686.131172] avd 269080000.avd:        0 | cm3_dma_config_a
[ 3686.136667] avd 269080000.avd:  1000002 | hdr_d0_ref_hdr
[ 3686.141990] avd 269080000.avd:        0 | cm3_mark_end_section_scl
[ 3686.148179] avd 269080000.avd: 2d820000 | slc_a7c_cmd_set_coded_slice
[ 3686.154633] avd 269080000.avd: fef00003 | slc_a84_slice_addr_low
[ 3686.160647] avd 269080000.avd:      2a4 | slc_a88_slice_hdr_size
[ 3686.166666] avd 269080000.avd: 2c000000 | cm3_cmd_exec_mb_vp
[ 3686.172340] avd 269080000.avd: 2d906000 | slc_a70_cmd_quant_param
[ 3686.178446] avd 269080000.avd: 2da30000 | slc_a74_cmd_deblocking_filter
[ 3686.185068] avd 269080000.avd: 2dc00000 | slc_6e8_cmd_ref_list_0
[ 3686.191086] avd 269080000.avd: 2dd00000 | slc_76c_cmd_weights_denom
[ 3686.197365] avd 269080000.avd: 2a000000 | cm3_cmd_set_mb_dims
[ 3686.203120] avd 269080000.avd:    16027 | cm3_set_mb_dims
[ 3686.208528] avd 269080000.avd: 2d018000 | slc_6e4_cmd_ref_type
[ 3686.214368] avd 269080000.avd: 2b000400 | cm3_cmd_inst_fifo_end
[ 3686.220584] avd 269080000.avd: 2b000100 | inst_fifo_start
[ 3686.225715] avd 269080000.avd: 2db012e0 | hdr_34_start_hdr
[ 3686.231199] avd 269080000.avd:  1000000 | hdr_38_mode
[ 3686.236269] avd 269080000.avd:  16f027f | hdr_3c_height_width
[ 3686.242017] avd 269080000.avd:        0 | hdr_40_zero
[ 3686.247072] avd 269080000.avd:   2d004f | hdr_28_height_width_shift3
[ 3686.253440] avd 269080000.avd:  1002801 | hdr_2c_sps_param
[ 3686.258941] avd 269080000.avd:   200000 | hdr_44_flags
[ 3686.264076] avd 269080000.avd:        0 | hdr_48_chroma_qp_index_offset
[ 3686.270707] avd 269080000.avd:   30000a | hdr_58_const_3a
[ 3686.276116] avd 269080000.avd:        0 | cm3_dma_config_1
[ 3686.281607] avd 269080000.avd:        0 | cm3_dma_config_2
[ 3686.287185] avd 269080000.avd:        0 | zero
[ 3686.291552] avd 269080000.avd: fcfa0000 | hdr_9c_pps_tile_addr_lsb8[0]
[ 3686.298092] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[0] (high)
[ 3686.305240] avd 269080000.avd:        0 | cm3_dma_config_3
[ 3686.310733] avd 269080000.avd:        0 | cm3_dma_config_4
[ 3686.316226] avd 269080000.avd:        0 | zero
[ 3686.320674] avd 269080000.avd: fcf98000 | hdr_9c_pps_tile_addr_lsb8[1]
[ 3686.327230] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[1] (high)
[ 3686.334372] avd 269080000.avd: fce98000 | hdr_9c_pps_tile_addr_lsb8[2]
[ 3686.340908] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[2] (high)
[ 3686.348059] avd 269080000.avd: f4f90000 | hdr_9c_pps_tile_addr_lsb8[3]
[ 3686.354597] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[3] (high)
[ 3686.361750] avd 269080000.avd:        0 | cm3_dma_config_5
[ 3686.367244] avd 269080000.avd: fd900000 | hdr_210_y_addr_lsb8[0]
[ 3686.373261] avd 269080000.avd:        0 | hdr_210_y_addr_lsb8[0] (high)
[ 3686.379890] avd 269080000.avd:       28 | hdr_218_width_align
[ 3686.385644] avd 269080000.avd: fd939800 | hdr_214_uv_addr_lsb8[0]
[ 3686.391748] avd 269080000.avd:        0 | hdr_214_uv_addr_lsb8[0] (high)
[ 3686.398467] avd 269080000.avd:       28 | hdr_21c_width_align
[ 3686.404218] avd 269080000.avd:        0 | cm3_mark_end_section
[ 3686.410068] avd 269080000.avd:  16f027f | hdr_54_height_width
[ 3686.415819] avd 269080000.avd:        0 | cm3_dma_config_6
[ 3686.421311] avd 269080000.avd: fce18000 | hdr_9c_pps_tile_addr_lsb8[7]
[ 3686.427854] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[7] (high)
[ 3686.435004] avd 269080000.avd: fd9ce400 | hdr_bc_sps_tile_addr_lsb8[0]
[ 3686.441543] avd 269080000.avd:        0 | hdr_bc_sps_tile_addr_lsb8[0] (high)
[ 3686.448704] avd 269080000.avd:        0 | cm3_dma_config_7
[ 3686.454191] avd 269080000.avd:        0 | cm3_dma_config_8
[ 3686.459683] avd 269080000.avd:        0 | cm3_dma_config_9
[ 3686.465185] avd 269080000.avd:        0 | cm3_dma_config_a
[ 3686.470671] avd 269080000.avd:  1000002 | hdr_d0_ref_hdr
[ 3686.475998] avd 269080000.avd:        0 | cm3_mark_end_section_scl
[ 3686.482189] avd 269080000.avd: 2d820000 | slc_a7c_cmd_set_coded_slice
[ 3686.488637] avd 269080000.avd: fee80003 | slc_a84_slice_addr_low
[ 3686.494654] avd 269080000.avd:      1a0 | slc_a88_slice_hdr_size
[ 3686.500684] avd 269080000.avd: 2c000000 | cm3_cmd_exec_mb_vp
[ 3686.506341] avd 269080000.avd: 2d906000 | slc_a70_cmd_quant_param
[ 3686.512454] avd 269080000.avd: 2da30000 | slc_a74_cmd_deblocking_filter
[ 3686.519070] avd 269080000.avd: 2dc00000 | slc_6e8_cmd_ref_list_0
[ 3686.525093] avd 269080000.avd: 2dd00000 | slc_76c_cmd_weights_denom
[ 3686.531367] avd 269080000.avd: 2a000000 | cm3_cmd_set_mb_dims
[ 3686.537125] avd 269080000.avd:    16027 | cm3_set_mb_dims
[ 3686.542528] avd 269080000.avd: 2d018000 | slc_6e4_cmd_ref_type
[ 3686.548374] avd 269080000.avd: 2b000400 | cm3_cmd_inst_fifo_end
[ 3686.554593] avd 269080000.avd: 2b000100 | inst_fifo_start
[ 3686.559719] avd 269080000.avd: 2db012e0 | hdr_34_start_hdr
[ 3686.565204] avd 269080000.avd:  1000000 | hdr_38_mode
[ 3686.570259] avd 269080000.avd:  16f027f | hdr_3c_height_width
[ 3686.576017] avd 269080000.avd:        0 | hdr_40_zero
[ 3686.581078] avd 269080000.avd:   2d004f | hdr_28_height_width_shift3
[ 3686.587443] avd 269080000.avd:  1002801 | hdr_2c_sps_param
[ 3686.592936] avd 269080000.avd:   200000 | hdr_44_flags
[ 3686.598081] avd 269080000.avd:        0 | hdr_48_chroma_qp_index_offset
[ 3686.604711] avd 269080000.avd:   30000a | hdr_58_const_3a
[ 3686.610116] avd 269080000.avd:        0 | cm3_dma_config_1
[ 3686.615609] avd 269080000.avd:        0 | cm3_dma_config_2
[ 3686.621104] avd 269080000.avd:        0 | zero
[ 3686.625550] avd 269080000.avd: fcfa0000 | hdr_9c_pps_tile_addr_lsb8[0]
[ 3686.632093] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[0] (high)
[ 3686.639246] avd 269080000.avd:        0 | cm3_dma_config_3
[ 3686.644739] avd 269080000.avd:        0 | cm3_dma_config_4
[ 3686.650235] avd 269080000.avd:        0 | zero
[ 3686.654677] avd 269080000.avd: fcf98000 | hdr_9c_pps_tile_addr_lsb8[1]
[ 3686.661230] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[1] (high)
[ 3686.668379] avd 269080000.avd: fce98000 | hdr_9c_pps_tile_addr_lsb8[2]
[ 3686.674914] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[2] (high)
[ 3686.682074] avd 269080000.avd: f4f90000 | hdr_9c_pps_tile_addr_lsb8[3]
[ 3686.688606] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[3] (high)
[ 3686.695759] avd 269080000.avd:        0 | cm3_dma_config_5
